Nr;pré-x;x;y
1;28;91;761859
2;78;56;178759
3;-33;85;621357
4;-12;-39;-57791
5;-1;-15;-3143
6;-24;-78;-468461
7;89;-87;-650927
8;35;-10;-893
9;68;-85;-606893
10;-8;9;817
11;-48;32;33799
12;-65;70;347907
13;59;10;1107
14;-64;79;499287
15;73;79;499287
16;-49;8;583
17;-17;-78;-468461
18;-75;84;599767
19;99;-42;-72317
20;-23;-95;-848343
21;78;-94;-821741
22;34;-43;-77651
23;94;-38;-53421
24;-46;14;2947
25;-99;-40;-62393
26;-2;36;47959
27;-1;98;950803
28;-96;-29;-23541
29;-74;-90;-720893
30;19;8;583
31;-2;48;112903
32;24;-80;-505593
33;55;29;25237
34;67;75;427507
35;-51;-99;-960491
36;-50;-28;-21161
37;85;-48;-108281
38;-18;-91;-745283
39;-61;-58;-191741
40;-27;70;347907
41;86;5;157
42;60;83;578683
43;-65;-54;-154541
44;-58;12;1879
45;10;-49;-115241
46;54;74;410707
47;87;6;259
48;23;73;394353
49;-71;94;839427
50;88;64;266247
51;61;5;157
52;-11;-90;-720893
53;7;-30;-26093
54;6;-29;-23541
55;84;42;75859
56;52;-24;-13241
57;22;-5;-93
58;-72;99;980107
59;-37;1;9
60;-79;55;169407
61;31;-18;-5501
62;-91;78;480643
63;-100;-52;-137897
64;1;91;761859
65;54;7;399
66;0;28;22743
67;22;-19;-6491
68;74;-12;-1577
69;74;100;1010007
70;54;-48;-108281
71;-58;82;558099
72;-58;60;219607
73;-49;-57;-181937
74;-52;-87;-650927
75;-61;46;99459
76;80;-11;-1203
77;51;-55;-163343
78;37;-41;-67233
79;-46;-6;-173
80;-45;-67;-296267
81;64;77;462469
82;99;-80;-505593
83;-32;90;737107
84;-30;-2;3
85;-86;31;30759
86;50;66;291859
87;-50;-89;-697041
88;14;66;291859
89;30;-10;-893
90;-23;-96;-875513
91;-93;64;266247
92;-83;95;866407
93;-7;31;30759
94;-45;-95;-848343
95;-59;95;866407
96;0;-70;-338093
97;-47;11;1459
98;93;-34;-38141
99;-65;-35;-41643
100;49;-55;-163343
101;40;-62;-234477
102;47;-57;-181937
103;-6;-12;-1577
104;39;-19;-6491
105;26;-99;-960491
106;-83;35;44107
107;61;-37;-49277
108;30;-28;-21161
109;79;89;712897
110;4;-63;-246071
111;-11;24;14407
112;-29;-70;-338093
113;-15;-37;-49277
114;-99;50;127507
115;-2;-25;-14993
116;58;27;20419
117;72;-85;-606893
118;86;-99;-960491
119;96;83;578683
120;-74;39;60847
121;98;-68;-309801
122;-71;92;787159
123;-77;-59;-201891
124;47;20;8407
125;66;-66;-283133
126;60;75;427507
127;-70;-22;-10157
128;92;12;1879
129;-18;-14;-2541
130;17;100;1010007
131;0;20;8407
132;38;-64;-258041
133;-27;25;16257
134;46;50;127507
135;36;-90;-720893
136;42;-56;-172473
137;-68;86;643459
138;50;78;480643
139;-6;-33;-34841
140;-56;1;9
141;63;-71;-352863
142;58;-89;-697041
143;42;39;60847
144;-37;3;43
145;-17;100;1010007
146;3;94;839427
147;-23;-1;7
148;13;-59;-201891
149;-38;64;266247
150;-28;-80;-505593
151;-61;72;378439
152;-99;84;599767
153;-18;-8;-441
154;14;-54;-154541
155;10;-53;-146061
156;16;-87;-650927
157;-75;10;1107
158;5;-61;-223253
159;12;-19;-6491
160;-49;-15;-3143
161;53;94;839427
162;-78;-18;-5501
163;92;-89;-697041
164;-50;65;278857
165;52;11;1459
166;82;27;20419
167;-78;-95;-848343
168;12;-57;-181937
169;-89;-50;-122493
170;-95;33;37033
171;5;56;178759
172;56;53;151693
173;-25;24;14407
174;64;-81;-524873
175;86;81;538009
176;12;48;112903
177;71;-72;-368057
178;67;-35;-41643
179;-18;82;558099
180;80;-66;-283133
181;65;-43;-77651
182;-94;-69;-323741
183;-60;-23;-11631
184;-43;19;7227
185;78;6;259
186;-64;50;127507
187;42;3;43
188;-96;-49;-115241
189;56;45;93157
190;-42;78;480643
191;81;32;33799
192;96;-34;-38141
193;64;-55;-163343
194;-61;-65;-270393
195;-21;-42;-72317
196;-50;2;19
197;57;-79;-486791
198;14;-28;-21161
199;95;5;157
200;18;4;87
